ID,Stasiun,Tanggal,Jam,Menit,tp,ts,tstp,PWeight,SWeight,PMotion
1,NIL03,2/20/2020,20,55,57.73,58.975,1.245,E,I,-
1,NIL06,2/20/2020,20,55,56.86,57.305,0.445,I,I,U
1,NIL07,2/20/2020,20,55,57.54,58.323,0.783,E,I,-
1,NIL09,2/20/2020,20,55,56.85,57.252,0.402,E,I,-
1,NIL10,2/20/2020,20,55,57.01,57.546,0.536,E,E,U
2,NIL03,2/22/2020,3,21,5.13,7.352,2.222,E,E,-
2,NIL04,2/22/2020,3,21,4.86,6.569,1.709,I,E,U
2,NIL06,2/22/2020,3,21,4.99,6.691,1.701,I,E,-
2,NIL07,2/22/2020,3,21,4.81,6.777,1.967,E,E,U
2,NIL08,2/22/2020,3,21,4.08,5.305,1.225,I,E,U
2,NIL09,2/22/2020,3,21,4.08,5.755,1.675,E,E,-
2,NIL10,2/22/2020,3,21,3.37,4.194,0.824,I,E,U
3,NIL04,2/24/2020,13,52,54.11,55.408,1.298,E,E,-
3,NIL08,2/24/2020,13,52,53.77,55.074,1.304,E,E,U
3,NIL09,2/24/2020,13,52,53,53.677,0.677,I,E,U
3,NIL10,2/24/2020,13,52,53.56,55.043,1.483,E,E,-
4,NIL01,2/24/2020,14,3,33.78,35.967,2.187,E,E,-
4,NIL04,2/24/2020,14,3,33.32,34.793,1.473,I,E,U
4,NIL08,2/24/2020,14,3,32.87,34.236,1.366,E,E,U
4,NIL09,2/24/2020,14,3,32.24,33.116,0.876,I,I,U
4,NIL10,2/24/2020,14,3,32.8,34.281,1.481,I,E,-
5,NIL08,2/24/2020,19,51,9.16,10.188,1.028,E,E,U
5,NIL09,2/24/2020,19,51,8.51,9.396,0.886,I,I,U
5,NIL10,2/24/2020,19,51,9.11,10.567,1.457,I,I,U
6,NIL02,2/25/2020,8,51,19.17,19.509,0.339,E,E,U
6,NIL03,2/25/2020,8,51,19.4,19.899,0.499,I,E,U
6,NIL04,2/25/2020,8,51,19.45,20.187,0.737,E,E,-
6,NIL07,2/25/2020,8,51,19.1,19.46,0.36,E,E,U
6,NIL08,2/25/2020,8,51,19.1,19.442,0.342,E,E,U
6,NIL10,2/25/2020,8,51,18.73,18.882,0.152,E,E,-
6,SIL05,2/25/2020,8,51,18.02,18.089,0.069,E,E,-
6,SIL06,2/25/2020,8,51,18.13,18.275,0.145,E,E,-
6,NIL01,2/25/2020,8,51,19.93,NaN,NaN,I,NaN,-
6,NIL06,2/25/2020,8,51,18.5,NaN,NaN,I,NaN,-
6,SIL08,2/25/2020,8,51,18.59,NaN,NaN,I,NaN,-
