x,y,z,xrot,yrot
497000,206000,2500,497326.9194,202525.3617
497000,206000,1500,497326.9194,202525.3617
497000,206000,500,497326.9194,202525.3617
497000,206000,-500,497326.9194,202525.3617
497000,206000,-1500,497326.9194,202525.3617
497000,206000,-2500,497326.9194,202525.3617
497000,206000,-3500,497326.9194,202525.3617
497000,206000,-4500,497326.9194,202525.3617
499000,206000,2500,499139.535,203370.5982
499000,206000,1500,499139.535,203370.5982
499000,206000,500,499139.535,203370.5982
499000,206000,-500,499139.535,203370.5982
499000,206000,-1500,499139.535,203370.5982
499000,206000,-2500,499139.535,203370.5982
499000,206000,-3500,499139.535,203370.5982
499000,206000,-4500,499139.535,203370.5982
501000,206000,2500,500952.1506,204215.8347
501000,206000,1500,500952.1506,204215.8347
501000,206000,500,500952.1506,204215.8347
501000,206000,-500,500952.1506,204215.8347
501000,206000,-1500,500952.1506,204215.8347
501000,206000,-2500,500952.1506,204215.8347
501000,206000,-3500,500952.1506,204215.8347
501000,206000,-4500,500952.1506,204215.8347
503000,206000,2500,502764.7662,205061.0713
503000,206000,1500,502764.7662,205061.0713
503000,206000,500,502764.7662,205061.0713
503000,206000,-500,502764.7662,205061.0713
503000,206000,-1500,502764.7662,205061.0713
503000,206000,-2500,502764.7662,205061.0713
503000,206000,-3500,502764.7662,205061.0713
503000,206000,-4500,502764.7662,205061.0713
505000,206000,2500,504577.3817,205906.3078
505000,206000,1500,504577.3817,205906.3078
505000,206000,500,504577.3817,205906.3078
505000,206000,-500,504577.3817,205906.3078
505000,206000,-1500,504577.3817,205906.3078
505000,206000,-2500,504577.3817,205906.3078
505000,206000,-3500,504577.3817,205906.3078
505000,206000,-4500,504577.3817,205906.3078
507000,206000,2500,506389.9973,206751.5443
507000,206000,1500,506389.9973,206751.5443
507000,206000,500,506389.9973,206751.5443
507000,206000,-500,506389.9973,206751.5443
507000,206000,-1500,506389.9973,206751.5443
507000,206000,-2500,506389.9973,206751.5443
507000,206000,-3500,506389.9973,206751.5443
507000,206000,-4500,506389.9973,206751.5443
509000,206000,2500,508202.6129,207596.7808
509000,206000,1500,508202.6129,207596.7808
509000,206000,500,508202.6129,207596.7808
509000,206000,-500,508202.6129,207596.7808
509000,206000,-1500,508202.6129,207596.7808
509000,206000,-2500,508202.6129,207596.7808
509000,206000,-3500,508202.6129,207596.7808
509000,206000,-4500,508202.6129,207596.7808
511000,206000,2500,510015.2285,208442.0174
511000,206000,1500,510015.2285,208442.0174
511000,206000,500,510015.2285,208442.0174
511000,206000,-500,510015.2285,208442.0174
511000,206000,-1500,510015.2285,208442.0174
511000,206000,-2500,510015.2285,208442.0174
511000,206000,-3500,510015.2285,208442.0174
511000,206000,-4500,510015.2285,208442.0174
513000,206000,2500,511827.844,209287.2539
513000,206000,1500,511827.844,209287.2539
513000,206000,500,511827.844,209287.2539
513000,206000,-500,511827.844,209287.2539
513000,206000,-1500,511827.844,209287.2539
513000,206000,-2500,511827.844,209287.2539
513000,206000,-3500,511827.844,209287.2539
513000,206000,-4500,511827.844,209287.2539
497000,208000,2500,496481.6829,204337.9773
497000,208000,1500,496481.6829,204337.9773
497000,208000,500,496481.6829,204337.9773
497000,208000,-500,496481.6829,204337.9773
497000,208000,-1500,496481.6829,204337.9773
497000,208000,-2500,496481.6829,204337.9773
497000,208000,-3500,496481.6829,204337.9773
497000,208000,-4500,496481.6829,204337.9773
499000,208000,2500,498294.2985,205183.2138
499000,208000,1500,498294.2985,205183.2138
499000,208000,500,498294.2985,205183.2138
499000,208000,-500,498294.2985,205183.2138
499000,208000,-1500,498294.2985,205183.2138
