master,pair,station,lagtime,coefficient,phase,ttmaster,ttpair,dt
414,426,SIL04,0.032099067,0.448843925,P,2.17,2.19,0.02
414,426,SIL02,-0.139725963,0.543116477,S,3.69,3.82,0.13
414,426,SIL02,-0.099188379,0.53037942,P,2.35,2.31,-0.04
414,426,SIL05,-0.17509804,0.574280639,P,2.03,2.08,0.05
414,426,SIL08,0.176494802,0.369593911,P,2.19,2.32,0.13
414,426,SIL03,-0.072815809,0.77043019,P,2.52,2.49,-0.03
414,426,NIL10,0.015733039,0.635853816,S,3.46,3.71,0.25
414,426,NIL10,0.017079939,0.722801709,P,2.28,2.28,0
414,426,SIL07,0.18506993,0.477498963,P,2.24,2.35,0.11
414,426,NIL09,0.118956438,0.58358617,P,2.9,2.65,-0.25
414,426,NIL09,0.079756451,0.476140131,S,4.52,4.41,-0.11
414,426,NIL08,0.090163757,0.623988182,P,2.79,2.78,-0.01
414,426,NIL06,-0.146610455,0.529944033,P,3.05,3.17,0.12
414,426,NIL03,-0.004377209,0.579197636,S,6.34,6.32,-0.02
414,426,NIL03,-0.040396363,0.811995139,P,3.87,3.71,-0.16
414,426,NIL04,-0.01055623,0.52698083,P,3.41,3.41,0
414,426,NIL02,0.037699211,0.640658565,P,4.19,3.76,-0.43
414,457,SIL05,0.050861133,0.396680019,P,2.17,2.19,0.02
414,457,SIL02,-0.012222448,0.54891219,P,3.69,3.82,0.13
414,457,SIL02,0.150243075,0.388722591,S,2.35,2.31,-0.04
414,457,SIL08,,,P,2.03,2.08,0.05
414,457,SIL03,-0.07525471,0.762826889,P,2.19,2.32,0.13
414,457,SIL03,-0.111979386,0.735457114,S,2.52,2.49,-0.03
414,457,NIL10,-0.021897617,0.443653797,S,3.46,3.71,0.25
414,457,NIL10,0.004670601,0.942385098,P,2.28,2.28,0
414,457,SIL07,-0.001458224,0.473335937,P,2.24,2.35,0.11
414,457,NIL08,-0.13094165,0.735278561,S,2.9,2.65,-0.25
414,457,NIL08,-0.002393398,0.938616725,P,4.52,4.41,-0.11
414,457,NIL06,-0.043739176,0.543941613,P,2.79,2.78,-0.01
414,457,NIL04,-0.024555413,0.677355773,S,3.05,3.17,0.12
414,457,NIL04,-0.004310823,0.730653652,P,6.34,6.32,-0.02
414,425,SIL04,-0.215452138,0.371595333,P,2.17,2.19,0.02
414,425,SIL05,0.016327101,0.356225436,P,3.69,3.82,0.13
414,425,SIL02,-0.121080367,0.454392652,P,2.35,2.31,-0.04
414,425,SIL03,-0.163794314,0.578547683,P,2.03,2.08,0.05
414,425,SIL03,-0.055114022,0.758211588,S,2.19,2.32,0.13
414,425,SIL08,0.099272224,0.530010096,P,2.52,2.49,-0.03
